Unnamed: 0,jurisdiction,first_year_rate,last_year_rate,percentage_change
1,AL,4315.03238372114,3479.79496126463,-19.3564578010473
2,AK,4244.59069172861,4159.28320400474,-2.00979302645395
3,AZ,6077.84184032835,3471.86900117273,-42.8766148843194
4,AR,4130.18453273799,3836.88543489442,-7.10135577523779
5,CA,3893.17333701575,2994.8385193624,-23.0746165117312
6,CO,4206.26185260221,3095.34809917714,-26.4109509192301
7,CT,3109.26855571621,2035.96469589722,-34.5194968072406
8,DE,4050.59509238651,3277.95376919024,-19.0747607591913
9,,,,
10,FL,5577.54592376749,3110.44577592167,-44.2327177860216
11,GA,4634.28466261552,3370.03884184215,-27.2802797586424
12,HI,5374.54850108881,3206.09960362096,-40.346624410005
13,ID,3134.36848063548,1978.12414807866,-36.8892279162529
14,IL,4104.70193551603,2487.66606579168,-39.3947208622605
15,IN,3823.92406536393,2939.03820119575,-23.1407802310521
16,IA,3291.2716957592,2397.35357819187,-27.1602650950737
17,KS,4309.423139196,3231.3167896205,-25.0174168270847
18,KY,2896.81322527241,2438.28324481365,-15.828772682286
19,LA,5332.24557799268,3862.18387476134,-27.5692798039647
20,ME,2692.86164721636,1770.89409967585,-34.2374643901057
21,MD,4856.9655216717,2800.69619463175,-42.3365024492127
22,MA,3087.93838120692,1940.36362272139,-37.1631365920263
23,MI,4075.2164693603,2376.12429524702,-41.6932986723033
24,MN,3574.87709485438,2372.61201256097,-33.630948712165
25,MS,4182.73314326897,3045.874694138,-27.1797987151164
26,MO,4769.7048361195,3322.52753819624,-30.3410241859043
27,MT,3684.85346516719,3084.9482408035,-16.2803006967462
28,NE,4312.51849522017,2561.22474120663,-40.6095360739809
29,NV,4282.97934616694,3260.89545170305,-23.863852983055
30,NH,2321.26026017998,1722.15293461122,-25.8095714576317
31,NJ,3215.14828372683,1780.63702996163,-44.6172657424805
32,NM,5318.75790238321,4628.05787961439,-12.9861150938893
33,NY,2913.51290455268,1913.3571677682,-34.3281725377509
34,NC,4926.11293664899,3106.64233196468,-36.9352190679172
35,ND,2409.70858534286,2561.84914790324,6.31364985317231
36,OH,4171.6151797422,2896.98804582883,-30.5547630592365
37,OK,4594.36409683371,3464.87701363381,-24.5841874826225
38,OR,5043.24098206937,3247.65925703667,-35.6037264809806
39,PA,2957.30248236543,2055.06571669775,-30.5087751776415
40,RI,3682.3166697966,2027.20208478714,-44.9476439271281
41,SC,5395.40265255254,3763.66329275526,-30.2431433736518
42,SD,2326.70995511154,2419.26684943973,3.97801600173038
43,TN,5144.32989332101,3513.96907151378,-31.6923847345786
44,TX,5141.59315928519,3192.83428099376,-37.9018490557187
45,UT,4226.37876133535,3218.024643262,-23.8585837904116
46,VT,2769.75682650927,1693.41979035989,-38.8603441951216
47,VA,3174.28005697016,2089.12599621125,-34.1858324181606
48,WA,5147.20383622624,3805.76173331608,-26.0615694577517
49,WV,2560.83510320798,2401.51544565707,-6.22139462831235
50,WI,3318.75247759551,2245.43328788548,-32.3410437191647
51,WY,3522.40184383316,2203.92880956045,-37.431079494267
