"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"1","FEDERAL",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ALABAMA",2001,4468912,8.4808114368777,30.6338545041836,124.952113624077,274.115936943936,438.182716509074,909.438359940854,2685.03832700219,282.372980269023,3876.84966721206,4315.03238372114
"3","ALASKA",2001,633630,6.15501159982955,79.068225936272,81.1198964695485,423.117592285719,589.460726291369,607.136657039597,2634.81842715781,413.17488123984,3655.12996543724,4244.59069172861
"4","ARIZONA",2001,5306966,7.53726328753566,28.6039141761979,167.101127084666,337.085257376814,540.327561925213,1033.00077671498,3520.8441131901,983.669388498061,5537.51427840314,6077.84184032835
"5","ARKANSAS",2001,2694698,5.49226666587499,33.1020396348682,80.936713501847,332.838781934005,452.369801736595,823.69156024163,2582.47863025838,271.644540501385,3677.8147310014,4130.18453273799
"6","CALIFORNIA",2001,34600463,6.37563722774461,28.7857419711407,186.743165835671,393.309765825966,615.214310860522,671.30026554847,2016.55972060258,590.099040004176,3277.95902615523,3893.17333701575
"7","COLORADO",2001,4430989,3.5657953562963,43.5568673269105,80.2303955166668,222.275433317483,349.628491517357,643.942018362041,2738.8919268362,473.799415886611,3856.63336108485,4206.26185260221
"8","CONNECTICUT",2001,3434602,3.0571227757976,18.604775749854,121.789948296775,191.142962124869,334.594808947296,499.592092475344,1914.69055220954,360.391102084026,2774.67374676891,3109.26855571621
"9","DELAWARE",2001,796599,2.88727452582793,52.7241435151186,145.116928341612,410.369583692673,611.097930075232,645.745224385167,2444.89385500107,348.858082925035,3439.49716231128,4050.59509238651
"10","FLORIDA",2001,16373330,5.33794896945215,40.5598616774963,200.734975719661,551.69595922149,798.3287455881,1075.23637525171,3154.81334584962,549.167457078065,4779.21717817939,5577.54592376749
"11","GEORGIA",2001,8405677,7.11423957879895,25.9348533140162,171.336585976359,291.362611244758,495.748290113931,854.172721602317,2837.17777877975,447.185872119521,4138.53637250158,4634.28466261552
"12","HAWAII",2001,1227024,2.60793594909309,33.3326813493461,93.0707141832597,125.01792955965,254.029261041349,909.680658243034,3661.29757853147,549.54100327296,5120.51924004746,5374.54850108881
"13","IDAHO",2001,1320585,2.27172048751122,32.1827069064089,18.5523839813416,190.143004804689,243.149816179951,568.460189991557,2141.85379964183,180.904674822143,2891.21866445553,3134.36848063548
